offer_id,skill_id
offer-001,skill-8e2848d04afe
offer-001,skill-724f40bbb5cf
offer-001,skill-72ebd499f293
offer-001,skill-94f1c7c0ec6d
offer-001,skill-18885f27b5af
offer-001,skill-20f3bd11a056
offer-002,skill-e6169e958b37
offer-002,skill-a37d07fe3004
offer-002,skill-3c26e7a5b744
offer-002,skill-4828e60247c1
offer-002,skill-05b073bd5e46
offer-002,skill-0ab89cabbdad
offer-002,skill-b37bda2ccfc5
offer-003,skill-8e2848d04afe
offer-003,skill-724f40bbb5cf
offer-003,skill-72ebd499f293
offer-003,skill-94f1c7c0ec6d
offer-003,skill-18885f27b5af
offer-003,skill-1fc0c785332e
offer-003,skill-b27ad06d123c
offer-003,skill-94d8a734ab66
offer-004,skill-18885f27b5af
offer-004,skill-4445d918dfcf
offer-004,skill-41a52587276c
offer-004,skill-cc52d03280b7
offer-004,skill-b949c922b6ef
offer-004,skill-c0862201e27e
offer-004,skill-89dccd9f7379
offer-004,skill-a7056a455639
offer-005,skill-8ff7b29c130d
offer-005,skill-e4a5f92fd340
offer-005,skill-d58222c0b47f
offer-005,skill-a7056a455639
offer-005,skill-18885f27b5af
offer-006,skill-d4347223667f
offer-006,skill-a7056a455639
offer-006,skill-18885f27b5af
offer-006,skill-5ad7efb21006
offer-006,skill-b1fa104b9bf0
offer-006,skill-3140d22d8cb3
offer-006,skill-32fd72a0e074
offer-006,skill-6cab6d272b4d
offer-007,skill-ef0f41c9727a
offer-007,skill-724f40bbb5cf
offer-007,skill-553ea337c893
offer-007,skill-72ebd499f293
offer-007,skill-bde483d06e32
offer-007,skill-07783d014345
offer-007,skill-cd590f6d28ae
offer-008,skill-18885f27b5af
offer-008,skill-01fad993ff61
offer-008,skill-41a52587276c
offer-008,skill-e6169e958b37
offer-008,skill-b949c922b6ef
offer-008,skill-b1fa104b9bf0
offer-008,skill-040228846ead
offer-008,skill-c44362bf3425
offer-009,skill-94d8a734ab66
offer-009,skill-494a953d8b1c
offer-009,skill-c58f5de0911c
offer-009,skill-05642da1523d
offer-009,skill-a7f6415749a3
offer-010,skill-8ff7b29c130d
offer-010,skill-e4a5f92fd340
offer-010,skill-d58222c0b47f
offer-010,skill-a7056a455639
offer-010,skill-18885f27b5af
offer-010,skill-353f838b4b39
offer-011,skill-18885f27b5af
