offer_id,title,company_id,company_name,city,start_date,end_date,duration_months,level_required,compensation,description,target_programs,status
offer-001,Pentesteur Junior,company-004,Banque Populaire,Casablanca,2025-12-20,2026-02-14,2,3A,5 000 MAD/mois,Opportunite de stage enrichissante au sein d'une structure en pleine croissance basee a Casablanca.,Cybersecurite,Ouverte
offer-002,Ingenieur DevOps,company-004,Banque Populaire,Casablanca,2025-06-01,2025-07-27,2,2A,2 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Genie Logiciel | Genie de la Data,Ouverte
offer-003,Pentesteur Junior,company-002,OCP Group,Casablanca,2025-05-30,2025-07-25,2,3A,3 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Industrie.,Cybersecurite,Fermee
offer-004,Developpeur Backend Python/Django,company-011,HPS Payment,Casablanca,2025-01-27,2025-04-21,3,3A,Non remunere,Opportunite de stage enrichissante au sein d'une structure en pleine croissance basee a Casablanca.,Genie Logiciel | Data Science & Software Engineering,Ouverte
offer-005,Ingenieur Data Engineer,company-005,BMCE Bank,Casablanca,2025-10-16,2026-01-08,3,2A,4 000 MAD/mois,Vous integrerez une equipe dynamique et participerez activement aux projets innovants de notre departement Finance.,Genie de la Data | Data Science & Software Engineering,Fermee
offer-006,Analyste Tableaux de bord,company-020,Dell Technologies MA,Casablanca,2025-11-13,2026-01-08,2,3A,2 000 MAD/mois,Rejoignez notre equipe et mettez en pratique vos competences dans un environnement professionnel stimulant a Casablanca.,Business Intelligence & Analytics | Genie de la Data,Ouverte
offer-007,Analyste Cybersecurite,company-020,Dell Technologies MA,Casablanca,2025-04-17,2025-06-12,2,2A,1 000 MAD/mois,Vous integrerez une equipe dynamique et participerez activement aux projets innovants de notre departement Informatique.,Cybersecurite,Ouverte
offer-008,Developpeur Full Stack,company-006,CBI Maroc,Casablanca,2025-07-29,2025-11-18,4,3A,5 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Informatique.,Genie Logiciel | Data Science & Software Engineering,Fermee
offer-009,Analyste Supply Chain,company-003,Attijariwafa Bank,Casablanca,2025-05-16,2025-10-31,6,2A,5 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Smart Supply Chain & Logistics,Ouverte
offer-010,Ingenieur Data Engineer,company-009,IBM Maroc,Casablanca,2025-02-06,2025-03-06,1,3A,3 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Informatique.,Genie de la Data | Data Science & Software Engineering,Ouverte
