student_id,program,level,city,mention,academic_year
student-e532c1bb17c1,Génie Logiciel,3A,Settat,Tres Bien,2023
student-5bf57e9190ad,Cybersécurité,1A,Beni Mellal,Passable,2023
student-ca640fd34fa2,Smart Supply Chain & Logistics,2A,Tetouan,Bien,2025
student-64cfd97277a2,Ingénierie Digitale pour la Finance,3A,Settat,Assez Bien,2025
student-bd88676e8d83,Cybersécurité,2A,Tetouan,Bien,2023
student-65b582c82f11,Cybersécurité,3A,Safi,Assez Bien,2025
student-712abb030227,Cybersécurité,1A,Nador,Tres Bien,2023
student-0224012b0526,Cybersécurité,3A,Beni Mellal,Passable,2023
student-ecf69caded74,Data Science & Software Engineering,3A,Tetouan,Passable,2025
student-03ceaa3d0094,Génie de la Data,3A,Kenitra,Assez Bien,2025
student-b49c84581a51,Cybersécurité,1A,Nador,Bien,2024
student-99a033c6672f,Cybersécurité,3A,Marrakech,Tres Bien,2025
student-8342316eac59,Data Science & Software Engineering,1A,Fes,Passable,2024
student-b6e482146e41,Cybersécurité,3A,Rabat,Assez Bien,2024
student-36102d4b2182,Cybersécurité,3A,Fes,Passable,2023
student-1b9b4255c789,Smart Supply Chain & Logistics,2A,Fes,Assez Bien,2025
student-e4350bbef33f,Data Science & Software Engineering,1A,Rabat,Assez Bien,2023
student-464112774049,Ingénierie Digitale pour la Finance,1A,Tanger,Tres Bien,2025
student-54df2efde62d,Ingénierie Digitale pour la Finance,1A,Casablanca,Passable,2025
student-60b8634fcdae,Business Intelligence & Analytics,1A,Oujda,Passable,2025
student-75612cb7ad59,Génie Logiciel,3A,Safi,Bien,2023
student-1fc79562ffed,Business Intelligence & Analytics,3A,Kenitra,Assez Bien,2025
student-1e2c32df1b6f,Cybersécurité,2A,Nador,Passable,2023
student-cb49e657493f,Ingénierie de l'IA,3A,Tetouan,Bien,2025
student-4bfe0c652ecf,Génie Logiciel,1A,Kenitra,Tres Bien,2025
student-f017c8b84811,Ingénierie de l'IA,3A,Agadir,Passable,2024
student-1861d794d8b7,Ingénierie de l'IA,2A,Nador,Tres Bien,2025
student-7b6fab509720,Génie de la Data,1A,Tanger,Assez Bien,2023
student-19f023ce35cc,Data Science & Software Engineering,2A,Casablanca,Passable,2024
student-84897cf262d1,Génie de la Data,1A,Oujda,Assez Bien,2024
student-826e5a0d15c3,Génie Logiciel,3A,Safi,Bien,2025
student-fbc3256f693c,Smart Supply Chain & Logistics,2A,Tanger,Tres Bien,2025
student-f56f18bba2ca,Génie de la Data,1A,Beni Mellal,Assez Bien,2025
student-748d64740dd1,Smart Supply Chain & Logistics,1A,Settat,Passable,2024
student-35136c722e04,Cybersécurité,3A,Marrakech,Tres Bien,2023
student-7758dfd3c76b,Ingénierie de l'IA,2A,Tetouan,Tres Bien,2025
student-95cde0f0dd4c,Ingénierie Digitale pour la Finance,2A,Rabat,Bien,2023
student-5afff9711979,Smart Supply Chain & Logistics,3A,Safi,Assez Bien,2023
student-432afa65f9e6,Smart Supply Chain & Logistics,3A,Settat,Tres Bien,2024
student-0c1cd280ac88,Génie de la Data,2A,Oujda,Bien,2025
student-8256d10d246c,Business Intelligence & Analytics,2A,Tetouan,Tres Bien,2023
student-53c967369b9c,Data Science & Software Engineering,2A,Tetouan,Passable,2024
student-223c25db8829,Génie Logiciel,2A,Fes,Assez Bien,2024
student-f3ef35b4baa4,Cybersécurité,2A,Nador,Bien,2025
student-320f070ec47d,Ingénierie de l'IA,3A,Oujda,Bien,2023
student-c1176ea4da56,Génie Logiciel,2A,Kenitra,Bien,2025
student-43dd407f6b97,Ingénierie Digitale pour la Finance,2A,Settat,Tres Bien,2024
student-7c1666ca54ab,Smart Supply Chain & Logistics,1A,Casablanca,Assez Bien,2023
student-6945c6281fcb,Ingénierie Digitale pour la Finance,3A,Fes,Tres Bien,2025
student-1589b5f85adc,Smart Supply Chain & Logistics,2A,Rabat,Assez Bien,2024
